0x000	struct X2EnterWorldResponsePacket
0x028	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyInvitationPacket>
0x029	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyCreatedPacket>
0x02A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyRemovedPacket>
0x02B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyDescPacket>
0x02C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyMemberAddedPacket>
0x02D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyMemberRemovedPacket>
0x02E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyOwnerChangedPacket>
0x02F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyTitleChangedPacket>
0x030	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyMemberNameChangedPacket>
0x031	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyTitlePacket>
0x032	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFamilyMemberOnlinePacket>
0x033	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,CreateCharacterResponsePacket>
0x034	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,DeleteCharacterResponsePacket>
0x035	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCEditCharacterResponsePacket>
0x036	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterDeletedPacket>
0x037	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,CancelCharacterDeleteResponsePacket>
0x038	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,CharacterCreationFailedPacket>
0x039	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,CharacterListPacket>
0x03A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCRaceCongestionPacket>
0x03B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,CharacterStatePacket>
0x03C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNotifyResurrectionPacket>
0x03D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,CharacterResurrectedPacket>
0x03E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCForceAttackSetPacket>
0x03F	 NoPck
0x040	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterLaborPowerChangedPacket>
0x041	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBmPointPacket>
0x042	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAddActionPointPacket>
0x043	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLpManagedPacket>
0x044	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterBoundPacket>
0x045	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCooldownsPacket>
0x046	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterInvenInitPacket>
0x047	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterInvenContentsPacket>
0x048	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCInvenExpandedPacket>
0x049	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFriendsPacket>
0x04A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSearchListPacket>
0x04B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAddFriendPacket>
0x04C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDeleteFriendPacket>
0x04D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFriendStatusChangedPacket>
0x04E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharDetailPacket>
0x04F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBlockedUsersPacket>
0x050	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAddBlockedUserPacket>
0x051	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDeleteBlockedUserPacket>
0x052	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLoginCharInfoHouse>
0x053	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharBriefPacket>
0x054	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPlaytimePacket>
0x055	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterRenamed>
0x056	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterPortalsPacket>
0x057	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCharacterReturnDistrictsPacket>
0x058	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPortalInfoSavedPacket>
0x059	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPortalDeletedPacket>
0x05A	 NoPck
0x05B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitPortalUsedPacket>
0x05C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSlaveCreatedPacket>
0x05D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSlaveRemovedPacket>
0x05E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSlaveDespawnPacket>
0x05F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSlaveBoundPacket>
0x060	 NoPck
0x061	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMySlavePacket>
0x062	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCEscapeSlavePacket>
0x063	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSlaveEquipmentChangedPacket>
0x064	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitStatePacket>
0x065	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitsRemovedPacket>
0x066	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitMovementsPacket>
0x067	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCOneUnitMovementPacket>
0x068	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSkillControllerStatePacket>
0x069	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitOfflinePacket>
0x06A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCActiveWeaponChangedPacket>
0x06B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitNameChangedPacket>
0x06C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitDeathPacket>
0x06D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeleportUnitPacket>
0x06E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBlinkUnitPacket>
0x06F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCKnockBackUnitPacket>
0x070	 NoPck
0x071	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitAttachedPacket>
0x072	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitDetachedPacket>
0x073	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitInvisiblePacket>
0x074	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitImpulsePacket>
0x075	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitFlyingStateChangedPacket>
0x076	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNpcInteractionSkillListPacket>
0x077	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNpcInteractionEndedByZonePacket>
0x078	 NoPck
0x079	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCWorldInteractionSkillListPacket>
0x07A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCWorldInteractionCanceledPacket>
0x07B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNpcInteractionStatusChangedPacket>
0x07C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCVegetationCutdowningPacket>
0x07D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNpcFriendshipListPacket>
0x07E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNpcFriendshipChangedPacket>
0x07F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,TargetChangedPacket>
0x080	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCombatEngagedPacket>
0x081	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCombatClearedPacket>
0x082	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCvFCombatRelationshipPacket>
0x083	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFvFCombatRelationshipPacket>
0x084	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCombatFirstHitPacket>
0x085	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDumpCombatStatPacket>
0x086	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDuelChallengedPacket>
0x087	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDuelStartCountdownPacket>
0x088	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDuelStartedPacket>
0x089	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDuelEndedPacket>
0x08A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDuelStatePacket>
0x08B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCItemTaskSuccessPacket>
0x08C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCItemTaskNotifyPacket>
0x08D	 NoPck
0x08E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCItemDetailUpdatedPacket>
0x08F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitEquipmentsChangedPacket>
0x090	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitEquipmentIdsPacket>
0x091	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCofferContentsUpdatePacket>
0x092	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCItemAcquisitionPacket>
0x093	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSyncItemLifespanPacket>
0x094	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSpecialtyRatioPacket>
0x095	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSpecialtyGoodsPacket>
0x096	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSpecialtyRecordsPacket>
0x097	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCGradeEnchantResultPacket>
0x098	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCItemSocketingResultPacket>
0x099	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCGradeEnchantBroadcastPacket>
0x09A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SkillStartedPacket>
0x09B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SkillFiredPacket>
0x09C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SkillEndedPacket>
0x09D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SkillStoppedPacket>
0x09E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCastingStoppedPacket>
0x09F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCastingDelayedPacket>
0x0A0	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitDamagedPacket>
0x0A1	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitHealedPacket>
0x0A2	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitTrackedPacket>
0x0A3	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBombUpdatedPacket>
0x0A4	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCombatTextPacket>
0x0A5	 NoPck
0x0A6	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSkillCooldownResetPacket>
0x0A7	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPlotEventPacket>
0x0A8	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPlotEndedPacket>
0x0A9	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPlotProcessingTimePacket>
0x0AA	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPlotCastingStoppedPacket>
0x0AB	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPlotChannelingStoppedPacket>
0x0AC	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCEnvDamagePacket>
0x0AD	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBuffStatePacket>
0x0AE	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBuffCreatedPacket>
0x0AF	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBuffRemovedPacket>
0x0B0	 NoPck
0x0B1	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBuffUpdatedPacket>
0x0B2	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitPointsPacket>
0x0B3	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitBountyMoneyPacket>
0x0B4	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseStatePacket>
0x0B5	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseBuildProgressPacket>
0x0B6	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHousePermissionChangedPacket>
0x0B7	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseBuildPayChangedPacket>
0x0B8	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseDemolishedPacket>
0x0B9	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMyHousePacket>
0x0BA	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMyHouseRemovedPacket>
0x0BB	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseFarmPacket>
0x0BC	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseTaxInfoPacket>
0x0BD	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCConstructHouseTaxPacket>
0x0BE	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHousingRecoverTogglePacket>
0x0BF	 NoPck
0x0C0	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseSetForSalePacket>
0x0C1	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseResetForSalePacket>
0x0C2	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseSoldPacket>
0x0C3	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCHouseOwnerNameChangedPacket>
0x0C4	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCJoinedChatChannelPacket>
0x0C5	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLeavedChatChannelPacket>
0x0C6	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCChatMessagePacket>
0x0C7	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNpcChatMessagePacket>
0x0C8	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNoticeMessagePacket>
0x0C9	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCChatFailedPacket>
0x0CA	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCChatLocalizedMessagePacket>
0x0CB	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCChatSpamDelayPacket>
0x0CC	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAskToJoinTeamPacket>
0x0CD	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAskToJoinTeamAreaPacket>
0x0CE	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCJoinedTeamPacket>
0x0CF	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCRejectedTeamPacket>
0x0D0	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLeavedTeamPacket>
0x0D1	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamDismissedPacket>
0x0D2	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamMemberJoinedPacket>
0x0D3	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamMemberLeavedPacket>
0x0D4	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamMemberDisconnectedPacket>
0x0D5	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamOwnerChangedPacket>
0x0D6	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamOfficerChangedPacket>
0x0D7	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamMemberRoleChangedPacket>
0x0D8	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamBecameRaidTeamPacket>
0x0D9	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamMemberMovedPacket>
0x0DA	 NoPck
0x0DB	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamLootingRuleChangedPacket>
0x0DC	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCRefreshTeamMemberPacket>
0x0DD	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamRemoteMembersExPacket>
0x0DE	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamAreaInvitedPacket>
0x0DF	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCOverHeadMarkerSetPacket>
0x0E0	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamPingPosPacket>
0x0E1	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCTeamAckRiskyActionPacket>
0x0E2	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSiegeStatePacket>
0x0E3	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSiegeDeclaredPacket>
0x0E4	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSiegeReinforcePacket>
0x0E5	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSiegeMemberPacket>
0x0E6	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSiegeAlertPacket>
0x0E7	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCConflictZoneStatePacket>
0x0E8	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCConflictZoneHonorPointSumPacket>
0x0E9	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,TimeOfDayPacket>
0x0EA	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,DetailedTimeOfDayPacket>
0x0EB	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCQuestsPacket>
0x0EC	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCompletedQuestsPacket>
0x0ED	 NoPck
0x0EE	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCraftItemUnlockPacket>
0x0EF	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,ItemLookChangedPacket>
0x0F0	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLootableStatePacket>
0x0F1	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCUnitLootingStatePacket>
0x0F2	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLootBagDataPacket>
0x0F3	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLootItemTookPacket>
0x0F4	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLootItemFailedPacket>
0x0F5	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLootDicePacket>
0x0F6	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLootDiceNotifyPacket>
0x0F7	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLootDiceSummaryPacket>
0x0F8	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpChangedPacket>
0x0F9	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAbilityExpChangedPacket>
0x0FA	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCRecoverableExpPacket>
0x0FB	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMileageChangedPacket>
0x0FC	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,LevelChangedPacket>
0x0FD	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitModelPostureChangedPacket>
0x0FE	 NoPck
0x0FF	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSkillLearnedPacket>
0x100	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSkillUpgradedPacket>
0x101	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCBuffLearnedPacket>
0x102	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSkillsResetPacket>
0x103	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAbilitySwappedPacket>
0x104	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,ErrorMsgPacket>
0x105	 NoPck
0x106	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,DoodadCreatedPacket>
0x107	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,DoodadRemovedPacket>
0x108	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,DoodadChangedPacket>
0x109	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDoodadPhaseChangedPacket>
0x10A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDoodadPuzzleScenePacket>
0x10B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDoodadQuestAcceptPacket>
0x10C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDoodadsCreatedPacket>
0x10D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDoodadsRemovedPacket>
0x10E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDoodadOriginatorPacket>
0x10F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailFailedPacket>
0x110	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCCountUnreadMailPacket>
0x111	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailSentPacket>
0x112	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCGotMailPacket>
0x113	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailListPacket>
0x114	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailListEndPacket>
0x115	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailBodyPacket>
0x116	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailReceiverOpenedPacket>
0x117	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCAttachmentTakenPacket>
0x118	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCChargeMoneyPaidPacket>
0x119	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailDeletedPacket>
0x11A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCSpamReportedPacket>
0x11B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailReturnedPacket>
0x11C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailStatusUpdatedPacket>
0x11D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMailRemovedPacket>
0x11E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMineAmountPacket>
0x11F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNewMatePacket>
0x120	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMateSpawnedPacket>
0x121	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMateEquipmentChangedPacket>
0x122	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCMateEquipmentExpiredPacket>
0x123	 NoPck
0x124	 NoPck
