0x000	X2EnterWorldPacket
0x053	RemoveBuffPacket
0x054	CSConstructHouseTaxPacket
0x055	CSCreateHousePacket
0x056	CSDecorateHousePacket
0x057	CSChangeHouseNamePacket
0x058	CSChangeHousePermissionPacket
0x059	CSChangeHousePayPacket
0x05A	CSRequestHouseTaxPacket
0x05B	CSAllowHousingRecoverPacket
0x05C	CSSellHousePacket
0x05D	CSSellHouseCancelPacket
0x05E	CSBuyHousePacket
0x05F	CSJoinUserChatChannelPacket
0x060	CSLeaveChatChannelPacket
0x061	CSSendChatMessagePacket
0x062	CSConsoleCmdUsedPacket
0x063	CSInteractNPCPacket
0x064	CSInteractNPCEndPacket
0x065	CSBoardingTransferPacket
0x066	CSStartInteractionPacket
0x067	
0x068	
0x069	CSSelectInteractionExPacket
0x06A	CSCofferInteractionPacket
0x06B	
0x06C	CSCriminalLockedPacket
0x06D	CSReplyImprisonOrTrialPacket
0x06E	CSSkipFinalStatementPacket
0x06F	CSReplyInviteJuryPacket
0x070	CSJurySummonedPacket
0x071	CSJuryEndTestimonyPacket
0x072	CSCancelTrialPacket
0x073	CSJuryVerdictPacket
0x074	CSReportCrimePacket
0x075	CSJoinTrialAudiencePacket
0x076	CSLeaveTrialAudiencePacket
0x077	CSRequestJuryWaitingNumberPacket
0x078	CSInviteToTeamPacket
0x079	CSInviteAreaToTeamPacket
0x07A	CSReplyToJoinTeamPacket
0x07B	CSLeaveTeamPacket
0x07C	CSKickTeamMemberPacket
0x07D	CSMakeTeamOwnerPacket
0x07E	CSSetTeamOfficerPacket
0x07F	CSConvertToRaidTeamPacket
0x080	CSMoveTeamMemberPacket
0x081	
0x082	CSChangeLootingRulePacket
0x083	CSDismissTeamPacket
0x084	CSSetTeamMemberRolePacket
0x085	CSSetOverHeadMarkerPacket
0x086	CSSetPingPosPacket
0x087	CSAskRiskyTeamActionPacket
0x088	CSMoveUnitPacket
0x089	CSSkillControllerStatePacket
0x08A	CSCreateSkillControllerPacket
0x08B	CSActiveWeaponChangedPacket
0x08C	CSSetCraftingPayPacket
0x08D	ChangeItemLookPacket
0x08E	CSLootOpenBagPacket
0x08F	CSLootItemPacket
0x090	CSLootCloseBagPacket
0x091	CSLootDicePacket
0x092	CSLearnSkillPacket
0x093	CSLearnBuffPacket
0x094	CSResetSkillsPacket
0x095	
0x096	CSResetSkillsPacket
0x097	
0x098	CSSendMailPacket
0x099	CSListMailPacket
0x09A	CSListMailContinuePacket
0x09B	CSReadMailPacket
0x09C	CSTakeAttachmentItemPacket
0x09D	CSTakeAttachmentMoneyPacket
0x09E	CSPayChargeMoneyPacket
0x09F	CSDeleteMailPacket
0x0A0	CSReportSpamPacket
0x0A1	CSReturnMailPacket
0x0A2	CSRemoveMatePacket
0x0A3	CSChangeMateTargetPacket
0x0A4	CSChangeMateNamePacket
0x0A5	CSMountMatePacket
0x0A6	CSUnMountMatePacket
0x0A7	CSChangeMateEquipmentPacket
0x0A8	CSChangeMateUserStatePacket
0x0A9	CSExpressEmotionPacket
0x0AA	CSBuyItemsPacket
0x0AB	CSBuyCoinItemPacket
0x0AC	CSSellItemsPacket
0x0AD	CSListSoldItemPacket
0x0AE	CSBuyPriestBuffPacket
0x0AF	CSUseTeleportPacket
0x0B0	CSTeleportEndedPacket
0x0B1	CSRepairPetItemsPacket
0x0B2	CSUpdateActionSlotPacket
0x0B3	CSAuctionPostPacket
0x0B4	CSAuctionSearchPacket
0x0B5	CSBidAuctionPacket
0x0B6	CSCancelAuctionPacket
0x0B7	CSAuctionMyBidListPacket
0x0B8	CSAuctionLowestPricePacket
0x0B9	CSRollDicePacket
0x0BA	
0x0BB	CSRequestNpcSpawnerList
0x0BC	CSUpdateNpcSpawner
0x0BD	CSRemoveNpcSpawner
0x0BE	CSRemoveAllDoodadFromCell
0x0BF	CSAddDoodadToCell
0x0C0	CSAddDoodadToCellEndedPacket
0x0C1	CSSetDoodadTimeAccel
0x0C2	
0x0C3	
0x0C4	CSRemoveAllFieldSlaves
0x0C5	CSAddFieldSlave
0x0C6	
0x0C7	CSHangPacket
0x0C8	CSUnhangPacket
0x0C9	CSUnbondDoodadPacket
0x0CA	CSCompletedCinemaPacket
0x0CB	CSStartedCinemaPacket
0x0CC	CSRequestPermissionToPlayCinemaForDirectingMode
0x0CD	CSEditorRemoveGimmickPacket
0x0CE	CSEditorAddGimmickPacket
0x0CF	CSInteractGimmickPacket
0x0D0	CSWorldRayCastingPacket
0x0D1	CSStartQuestContextPacket
0x0D2	CSCompleteQuestContextPacket
0x0D3	CSDropQuestContextPacket
0x0D4	CSResetQuestContextPacket
0x0D5	CSAcceptCheatQuestContextPacket
0x0D6	CSQuestTalkMadePacket
0x0D7	CSQuestStartWithPacket
0x0D8	
0x0D9	CSTryQuestCompleteAsLetItDonePacket
0x0DA	CSUsePortalPacket
0x0DB	CSDeletePortalPacket
0x0DC	CSInstanceLoadedPacket
0x0DD	CSApplyToInstantGamePacket
0x0DE	CSCancelInstantGamePacket
0x0DF	CSJoinInstantGamePacket
0x0E0	CSEnteredInstantGameWorldPacket
0x0E1	CSLeaveInstantgamePacket
0x0E2	CSCreateDoodadPacket
0x0E3	CSSaveDoodadUccStringPacket
0x0E4	CSNaviTeleportPacket
0x0E5	CSNaviOpenPortalPacket
0x0E6	CSChangeDoodadPhasePacket
0x0E7	CSNaviOpenBountyPacket
0x0E8	CSChangeDoodadDataPacket
0x0E9	CSStartTradePacket
0x0EA	CSCanStartTradePacket
0x0EB	CSCannotStartTradePacket
0x0EC	CSCancelTradePacket
0x0ED	CSPutupTradeItemPacket
0x0EE	CSPutupTradeMoneyPacket
0x0EF	CSTakedownTradeItemPacket
0x0F0	CSTradeLockPacket
0x0F1	CSTradeOkPacket
0x0F2	CSSaveTutorialPacket
0x0F3	CSSetLogicDoodadPacket
0x0F4	CSCleanupLogicLinkPacket
0x0F5	CSExecuteCraftPacket
0x0F6	CSChangeAppellationPacket
0x0F7	
0x0F8	
0x0F9	CSCreateShipyardPacket
0x0FA	CSRestartMainQuestPacket
0x0FB	CSSetLpManageCharacter
0x0FC	CSUpgradeExpertLimitPacket
0x0FD	CSDowngradeExpertLimitPacket
0x0FE	CSExpandExpertPacket
0x0FF	
0x100	CSSearchListPacket
0x101	CSAddFriendPacket
0x102	CSDeleteFriendPacket
0x103	CSCharDetailPacket
0x104	CSAddBlockedUserPacket
0x105	CSDeleteBlockedUserPacket
0x106	
0x107	
0x108	CSRequestCommonFarmList
0x109	CSCheckDemoModePacket
0x10A	CSResetDemoCharPacket
0x10B	CSRemoveAreaSpheresPacket
0x10C	CSPlaceAreaSpheresPacket
0x10D	CSRemoveCommonFarmsPacket
0x10E	CSPlaceCommonFarmPacket
0x10F	CSNotifySubZonePacket
0x110	CSHSResponsePacket
0x111	CSResturnAddrsPacket
0x112	CSItemUccPacket
0x113	CSRequestUIDataPacket
0x114	CSSaveUIDataPacket
0x115	CSBroadcastVisualOptionPacket
0x116	CSRestrictCheck
0x117	CSICSMenuListPacket
0x118	CSICSGoodsListPacket
0x119	CSICSBuyGoodPacket
0x11A	
0x11B	
0x11C	CSRequestSetBountyMoneyPacket
0x11D	CSUpdateBountyPacket
0x11E	CSSendUserMusicPacket
0x11F	CSSaveUserMusicNotesPacket
0x120	CSRequestMusicNotesPacket
0x121	CSPauseUserMusicPacket
0x122	CSRequestSecondPasswordKeyTablesPacket
0x123	CSCreateSecondPasswordPacket
0x124	CSChangeSecondPasswordPacket
0x125	CSClearSecondPasswordPacket
0x126	CSCheckSecondPasswordPacket
0x127	CSAskMouldPacket
0x128	CSTakeMouldPacket
0x129	CSLeaveBeautyshopPacket
0x12A	CSBeautyshopDataPacket
0x12B	CSRankCharacterPacket
0x12C	CSRankSnapshotPacket
0x12D	CSSpecialtyCurrentLoadPacket
0x12E	CSIdleStatusPacket
0x12F	CSChangeAutoUseAAPointPacket
0x130	CSThisTimeUnpackItemPacket
0x131	CSPremiumServiceBuyPacket
0x132	CSPremiumServiceListPacket
0x133	CSICSBuyAAPointPacket
0x134	CSRequestTencentFatigueInfoPacket
0x135	CSTakeAllAttachmentItemPacket
0x136	CSPremiumServieceMsgPacket
